environment,connector_id,rx_24h_bytes,rx_24h_display,tx_24h_bytes,tx_24h_display,total_24h_bytes,total_24h_display,rx_7d_bytes,rx_7d_display,tx_7d_bytes,tx_7d_display,total_7d_bytes,total_7d_display,budget_used_bytes,budget_used_display,percent_of_budget
DEV,33168,586406,572.66 KB,6823713,6.51 MB,6823713,6.51 MB,586406,572.66 KB,6823713,6.51 MB,6823713,6.51 MB,11789807301149,10.72 TB,1.65
QA,36205,0,0 Bytes,0,0 Bytes,0,0 Bytes,0,0 Bytes,0,0 Bytes,0,0 Bytes,7996224,7.63 MB,0.0
QA2,36542,839122024,800.25 MB,35611670151,33.17 GB,35611670151,33.17 GB,668342365763,622.44 GB,25394791554463,23.10 TB,25394791554463,23.10 TB,25394792600987,23.10 TB,3.55
PROD,36608,0,0 Bytes,0,0 Bytes,0,0 Bytes,22927323,21.87 MB,1419969081,1.32 GB,1419969081,1.32 GB,1419990706,1.32 GB,0.0

TOTAL_RX_24H_BYTES,839708430
TOTAL_RX_24H_DISPLAY,800.81 MB
TOTAL_TX_24H_BYTES,35618493864
TOTAL_TX_24H_DISPLAY,33.17 GB
TOTAL_24H_BYTES,35618493864
TOTAL_24H_DISPLAY,33.17 GB
TOTAL_RX_7D_BYTES,668365879492
TOTAL_RX_7D_DISPLAY,622.46 GB
TOTAL_TX_7D_BYTES,25396218347257
TOTAL_TX_7D_DISPLAY,23.10 TB
TOTAL_7D_BYTES,25396218347257
TOTAL_7D_DISPLAY,23.10 TB
BUDGET_TOTAL_TB,650.0
BUDGET_TOTAL_BYTES,714682558054400
BUDGET_USED_BYTES,37186027889066
BUDGET_USED_DISPLAY,33.82 TB
BUDGET_REMAINING_BYTES,677496530165334
BUDGET_REMAINING_DISPLAY,616.18 TB remaining
BUDGET_PERCENT_LEFT,94.8
